customer_id,customer_name,city,customer_type
1,Kusuma Hutagalung,Jakarta,Individual
2,Ade Wasita,Batam,Individual
3,Shakila Riyanti,Batam,Individual
4,Icha Firmansyah,Sidoarjo,Business
5,Edward Suryono,Lampung,Individual
6,"Zelda Hasanah, S.Pt",Medan,Individual
7,"Daruna Saptono, M.Farm",Bandung,Individual
8,"Rangga Napitupulu, S.Farm",Palembang,Business
9,Kenari Prasetyo,Yogyakarta,Individual
10,"Cakrawala Santoso, S.E.I",Tangerang,Individual
11,Asmuni Marbun,Palembang,Individual
12,"T. Legawa Purnawati, S.Pd",Palembang,Individual
13,Dewi Hastuti,Depok,Individual
14,"Ilsa Waskita, S.T.",Pekanbaru,Individual
15,Dr. Jumadi Farida,Cirebon,Individual
16,Liman Gunarto,Cirebon,Individual
17,Unjani Sinaga,Bogor,Individual
18,Tgk. Aisyah Iswahyudi,Bekasi,Individual
19,Yono Wulandari,Medan,Individual
20,"Ir. Rini Damanik, S.T.",Padang,Individual
21,Cut Vanesa Natsir,Yogyakarta,Individual
22,Padma Yulianti,Sidoarjo,Individual
23,Indah Najmudin,Depok,Individual
24,drg. Siska Lestari,Malang,Individual
25,Jarwadi Tampubolon,Yogyakarta,Individual
26,Juli Sinaga,Palembang,Individual
27,"Bala Marpaung, S.Psi",Depok,Individual
28,Talia Lailasari,Malang,Business
29,Salimah Wacana,Bandung,Individual
30,"Drs. Ani Hasanah, S.Pt",Bengkulu,Individual
31,Hafshah Sinaga,Padang,Business
32,Prasetyo Waskita,Bengkulu,Individual
33,"Drs. Yunita Adriansyah, M.Pd",Pekanbaru,Individual
34,Laras Habibi,Medan,Individual
35,Karja Tarihoran,Bengkulu,Individual
36,Dr. Sari Handayani,Bengkulu,Business
37,"Dt. Damu Santoso, M.Pd",Medan,Individual
38,Wira Suwarno,Cirebon,Business
39,Tami Laksita,Bogor,Individual
40,Alambana Usamah,Bandung,Individual
41,R.A. Titin Manullang,Yogyakarta,Individual
42,Puspa Budiman,Semarang,Individual
43,dr. Bakiman Prasetyo,Batam,Individual
44,"Puti Malika Lazuardi, S.E.I",Medan,Business
45,Tina Siregar,Padang,Individual
46,H. Empluk Agustina,Tangerang,Business
47,"Dr. Nadine Prasasta, M.M.",Bengkulu,Individual
48,R.M. Harjo Nainggolan,Bogor,Business
49,Drs. Ulva Mansur,Medan,Individual
50,"Puti Ika Agustina, S.Psi",Bekasi,Individual
51,"Dr. Emas Adriansyah, S.Pd",Sidoarjo,Business
52,"Ifa Rahmawati, M.Farm",Palembang,Business
53,"Jindra Maryadi, M.M.",Malang,Individual
54,drg. Gangsar Sitorus,Batam,Individual
55,KH. Kenari Waluyo,Cirebon,Individual
56,Janet Nainggolan,Depok,Individual
57,"Halima Pertiwi, S.Sos",Cirebon,Individual
58,Sabri Zulkarnain,Solo,Business
59,Galiono Kusmawati,Bogor,Individual
60,"Yessi Wibowo, S.Sos",Cirebon,Individual
61,"Prima Yulianti, S.E.I",Solo,Business
62,Ani Mahendra,Sidoarjo,Individual
63,Drs. Gamblang Januar,Lampung,Individual
64,"Dr. Cinthia Novitasari, M.M.",Tangerang,Business
65,Najam Megantara,Lampung,Individual
66,Safina Mangunsong,Solo,Business
67,Jarwadi Saptono,Bengkulu,Individual
68,Sarah Widodo,Bekasi,Individual
69,"Bajragin Sitompul, M.Pd",Bengkulu,Business
70,Jamalia Utami,Batam,Business
71,"Vanya Laksita, M.Pd",Sidoarjo,Individual
72,Lasmanto Hidayat,Sidoarjo,Business
73,Laswi Suwarno,Jambi,Business
74,Pangeran Iswahyudi,Sidoarjo,Individual
75,Cinthia Usada,Bekasi,Individual
76,"Cinthia Handayani, S.E.",Surabaya,Individual
77,"Ifa Dabukke, S.Gz",Padang,Individual
78,Wulan Hakim,Yogyakarta,Individual
79,Kani Wahyudin,Palembang,Individual
80,Dalima Prasasta,Cirebon,Individual
81,dr. Karya Zulaika,Padang,Individual
82,"R.M. Cawisono Natsir, S.Pt",Solo,Individual
83,drg. Raina Zulaika,Palembang,Individual
84,Jamal Padmasari,Surabaya,Business
85,Daru Hariyah,Padang,Individual
86,"Dodo Haryanti, S.T.",Surabaya,Individual
87,"Adika Hastuti, S.Pd",Pekanbaru,Individual
88,"Kenes Manullang, S.Pt",Cirebon,Individual
89,Jelita Rahmawati,Bengkulu,Individual
90,Suci Anggraini,Solo,Business
91,"Hafshah Hasanah, S.Pd",Lampung,Individual
92,Harjo Laksmiwati,Bekasi,Individual
93,Dasa Wibowo,Jakarta,Individual
94,dr. Ratih Sihombing,Surabaya,Individual
95,"Ida Damanik, S.Sos",Sidoarjo,Individual
96,Ajeng Pratiwi,Yogyakarta,Individual
97,"Hj. Victoria Hardiansyah, M.Ak",Jakarta,Business
98,"Najwa Suwarno, S.H.",Lampung,Individual
99,dr. Gawati Usada,Cirebon,Individual
100,Lukman Ramadan,Semarang,Individual
101,"Perkasa Wahyuni, S.E.I",Yogyakarta,Business
